condition,seed,founderId,stepStart,stepEnd,pStart,pEnd,deltaP,muStart,muEnd,midpoint,fluxVector,fluxMagnitude,sourceCell,targetCell,midpointCell,crossesCellBoundary
scarcity_mutable,14003,1,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,3,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.2,2.2.1.2,2.2.1.2,False
scarcity_mutable,14003,4,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,13,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.2,1.1.1.2,1.1.1.2,False
scarcity_mutable,14003,17,179,180,0.05454545454545454,0.05357142857142857,-0.0009740259740259744,"[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,20,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.1,1.1.1.1,1.1.1.1,False
scarcity_mutable,14003,21,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,23,179,180,0.07272727272727272,0.07142857142857142,-0.0012987012987012991,"[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,24,179,180,0.01818181818181818,0.03571428571428571,0.01753246753246753,"[0.6829612968461124,0.547095877184557,0.2885798397146073,0.4691097148846741]","[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.6948094868068582,0.5493306129095369,0.29508060373879524,0.47019982440810004]","[0.0006385712771051321,0.0001204435488138516,0.00035036585325168664,5.875265613269566e-05]",0.0007405997772899903,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,25,179,180,0.05454545454545454,0.05357142857142857,-0.0009740259740259744,"[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.0,0.0,0.0,0.0]",0.0,1.1.0.1,1.1.0.1,1.1.0.1,False
